# POS	ID	PosScore	NegScore
a	26051	0.375	0.125
a	26168	0.125	0.125
a	26294	0.375	0.0
a	26388	0.0	0.0
a	26515	0.375	0.0
a	26706	0.125	0.125
a	26895	0.125	0.0
a	27074	0.25	0.125
a	27247	0.5	0.125
a	27599	0.5	0.125
a	27833	0.375	0.125
a	28008	0.5	0.25
a	28181	0.5	0.0
a	28280	0.375	0.25
a	28471	0.5	0.125
a	28672	0.125	0.625
a	28867	0.125	0.125
a	28984	0.25	0.625
a	29108	0.125	0.125
a	29216	0.25	0.5
a	29343	0.375	0.125
a	29769	0.5	0.125
a	29933	0.375	0.375
a	30508	0.375	0.5
a	30701	0.375	0.375
a	30798	0.375	0.25
a	31138	0.375	0.375
a	31384	0.375	0.375
a	31533	0.375	0.5
a	31674	0.0	0.0
a	31824	0.0	0.0
a	31974	0.625	0.125
a	32358	0.375	0.0
a	32497	0.5	0.125
a	32733	0.5	0.0
a	33077	0.625	0.0
a	33206	0.5	0.125
a	33359	0.5	0.125
a	33475	0.5	0.125
a	33574	0.25	0.75
a	33886	0.375	0.25
a	34032	0.375	0.25
a	34232	0.25	0.625
a	34322	0.375	0.5
a	34572	0.375	0.5
a	34710	0.375	0.0
a	34924	0.25	0.0
a	35074	0.0	0.5
a	35254	0.125	0.5
a	35368	0.0	0.125
a	35465	0.375	0.125
a	35779	0.25	0.125
a	35868	0.375	0.25
a	35978	0.375	0.125
a	36163	0.25	0.25
a	36254	0.5	0.125
a	36346	0.5	0.0
a	36481	0.0	0.125
a	36763	0.0	0.25
a	36879	0.0	0.375
a	36998	0.125	0.375
a	37188	0.125	0.125
a	37341	0.0	0.375
a	37457	0.375	0.25
a	37653	0.375	0.25
a	37757	0.125	0.125
a	37985	0.0	0.5
a	38119	0.125	0.25
a	38260	0.125	0.125
a	38462	0.125	0.25
a	38623	0.25	0.25
a	38750	0.5	0.0
a	39122	0.375	0.0
a	39259	0.5	0.0
a	39394	0.5	0.25
a	39592	0.375	0.625
a	39929	0.125	0.375
a	40058	0.375	0.5
a	40325	0.125	0.5
a	40534	0.125	0.125
a	40685	0.375	0.125
a	40909	0.5	0.25
a	41051	0.375	0.125
a	41202	0.5	0.0
a	41361	0.5	0.125
a	41488	0.5	0.125
a	41618	0.5	0.25
a	41841	0.5	0.25
a	42037	0.25	0.0
a	42228	0.375	0.0
a	42457	0.5	0.125
a	42692	0.5	0.0
a	42837	0.5	0.375
a	42982	0.5	0.125
a	43125	0.375	0.375
a	43231	0.25	0.375
a	43411	0.25	0.125
a	43615	0.375	0.125
a	43765	0.5	0.125
a	44132	0.5	0.125
a	44353	0.375	0.375
a	44608	0.375	0.375
a	44760	0.25	0.5
a	44987	0.125	0.25
a	45123	0.5	0.25
a	45356	0.375	0.25
a	45561	0.375	0.5
a	45735	0.375	0.375
a	45888	0.25	0.5
a	46014	0.5	0.375
a	46109	0.375	0.125
a	46339	0.625	0.0
a	46471	0.25	0.125
a	46558	0.5	0.25
a	46673	0.5	0.25
a	46792	0.375	0.375
a	46955	0.375	0.125
a	47029	0.125	0.125
a	47243	0.375	0.125
a	47406	0.0	0.125
a	47566	0.375	0.25
a	47653	0.5	0.125
a	47786	0.625	0.125
a	47954	0.25	0.625
a	48129	0.375	0.125
a	48460	0.375	0.0
a	48706	0.5	0.125
a	48858	0.375	0.0
a	49016	0.5	0.0
a	49266	0.375	0.0
a	49469	0.375	0.125
a	49683	0.25	0.0
a	49879	0.5	0.25
a	50083	0.375	0.0
a	50260	0.375	0.125
a	50446	0.5	0.125
a	50641	0.5	0.0
a	50799	0.25	0.0
a	50947	0.125	0.375
a	51045	0.75	0.0
a	51373	0.75	0.0
a	51571	0.75	0.25
a	51696	0.125	0.5
a	52012	0.0	0.625
a	52246	0.125	0.625
a	52431	0.0	0.5
a	52672	0.5	0.25
a	53032	0.375	0.0
a	53154	0.375	0.0
a	53248	0.5	0.125
a	53384	0.375	0.25
a	53564	0.375	0.375
a	53691	0.375	0.0
a	54109	0.375	0.0
a	54201	0.375	0.0
a	54278	0.375	0.25
a	54364	0.375	0.25
a	54541	0.375	0.0
a	54667	0.5	0.25
a	54804	0.375	0.125
a	54908	0.5	0.375
a	55041	0.375	0.125
a	55142	0.375	0.125
a	55256	0.375	0.375
a	55340	0.25	0.25
a	55539	0.375	0.125
a	55765	0.75	0.0
a	55906	0.125	0.5
a	56002	0.625	0.0
a	56660	0.5	0.0
a	56849	0.375	0.625
a	56943	0.5	0.25
a	57149	0.375	0.0
a	57390	0.5	0.0
a	57490	0.5	0.0
a	57566	0.5	0.0
a	57737	0.375	0.0
a	57881	0.5	0.25
a	57992	0.5	0.0
a	58280	0.5	0.125
a	58379	0.5	0.125
a	58554	0.5	0.0
a	58696	0.375	0.375
a	58822	0.5	0.125
a	58929	0.375	0.0
a	59028	0.5	0.125
a	59131	0.5	0.0
a	59201	0.5	0.0
a	59326	0.5	0.0
a	59491	0.625	0.125
a	59669	0.5	0.0
a	59782	0.625	0.0
a	59965	0.5	0.0
a	60053	0.375	0.0
a	60151	0.5	0.0
a	60294	0.5	0.0
a	60397	0.5	0.25
a	60605	0.5	0.5
a	60875	0.375	0.5
a	60969	0.0	0.0
a	61088	0.125	0.0
a	61262	0.875	0.0
a	61664	0.75	0.125
a	61885	0.875	0.0
a	62152	0.75	0.0
a	62367	0.75	0.0
a	62626	0.875	0.0
a	62740	0.75	0.125
a	63087	0.75	0.0
a	63277	0.125	0.75
a	63563	0.375	0.375
a	63953	0.375	0.625
a	64176	0.125	0.5
a	64365	0.0	0.5
a	64479	1.0	0.0
a	64787	1.0	0.0
a	65064	1.0	0.0
a	65184	0.875	0.0
a	65488	0.0	0.875
a	65667	0.25	0.5
a	65791	0.5	0.375
a	66146	0.5	0.5
a	66565	0.5	0.5
a	66703	0.375	0.625
a	66800	0.375	0.625
a	66933	0.375	0.625
a	67038	0.625	0.0
a	67379	0.875	0.0
a	67638	0.75	0.0
a	67767	0.0	0.75
a	67966	0.5	0.0
a	68180	0.5	0.0
a	68278	0.125	0.5
a	68566	0.375	0.0
a	68738	0.375	0.125
a	68883	0.375	0.0
a	69060	0.5	0.125
a	69217	0.5	0.0
a	69427	0.0	0.375
a	69531	0.75	0.125
a	69948	0.625	0.25
a	70111	0.75	0.125
a	70288	0.75	0.125
a	70427	0.75	0.0
a	70583	0.25	0.75
a	70839	0.25	0.75
a	70939	0.375	0.125
a	71142	0.5	0.125
a	71242	0.5	0.375
a	71427	0.375	0.375
a	71559	0.375	0.375
a	71739	0.375	0.125
a	71897	0.375	0.5
a	71992	0.375	0.25
a	72281	0.375	0.25
a	72436	0.375	0.0
a	72673	0.375	0.5
a	72790	0.25	0.375
a	73048	0.375	0.375
a	73358	0.375	0.25
a	73465	0.375	0.125
a	73761	0.375	0.375
a	73935	0.375	0.125
a	74094	0.25	0.25
a	74216	0.5	0.375
a	74346	0.75	0.0
a	74594	0.75	0.0
a	74741	0.375	0.625
a	74867	0.5	0.375
a	75019	0.5	0.0
a	75135	0.625	0.0
a	75389	0.75	0.0
a	75515	0.375	0.25
a	75737	0.25	0.5
a	75952	0.5	0.375
a	76127	0.5	0.5
a	76341	0.5	0.375
a	76580	0.375	0.25
a	76739	0.375	0.375
a	76921	0.0	0.0
a	77059	0.0	0.0
a	77196	0.0	0.0
a	77354	0.0	0.0
a	77449	0.0	0.0
a	77645	0.25	0.75
a	78329	0.375	0.625
a	78463	0.375	0.625
a	78576	0.25	0.75
a	78705	0.375	0.625
a	78851	0.375	0.625
a	78942	0.125	0.875
a	79069	0.25	0.75
a	79262	0.375	0.5
a	79356	0.375	0.625
a	79485	0.375	0.625
a	79629	0.375	0.625
a	79786	0.125	0.875
a	79896	0.375	0.625
a	80098	0.375	0.625
a	80213	0.125	0.875
a	80357	0.375	0.625
a	80698	0.375	0.625
a	80861	0.375	0.625
a	80981	0.375	0.625
a	81087	0.25	0.75
a	81234	0.375	0.625
a	81417	0.25	0.75
a	81513	0.125	0.875
a	81671	0.5	0.5
a	81930	0.25	0.75
a	82034	0.25	0.75
a	82160	0.5	0.5
a	82241	0.5	0.375
a	82766	0.375	0.5
a	83003	0.5	0.25
a	83296	0.5	0.375
a	83478	0.5	0.25
a	83749	0.375	0.5
a	83876	0.375	0.5
a	84022	0.375	0.125
a	84353	0.375	0.5
a	84661	0.5	0.125
a	84795	0.5	0.5
a	84956	0.5	0.5
a	85139	0.375	0.5
a	85264	0.5	0.5
a	85630	0.5	0.25
a	85870	0.375	0.625
a	86005	0.5	0.5
a	86210	0.375	0.625
a	86341	0.25	0.75
a	86606	0.375	0.625
a	86801	0.375	0.625
a	87022	0.5	0.375
a	87152	0.375	0.625
a	87354	0.375	0.0
a	87597	0.375	0.25
a	87837	0.375	0.125
a	88055	0.25	0.125
a	88157	0.25	0.125
a	88328	0.375	0.25
a	88545	0.25	0.125
a	88658	0.375	0.25
a	88792	0.25	0.25
a	88899	0.25	0.25
a	89051	0.875	0.0
a	89355	0.0	1.0
a	89550	0.0	1.0
a	90219	0.125	0.875
a	90408	0.25	0.75
a	90628	0.125	0.875
a	90718	0.125	0.0
a	90917	0.125	0.0
a	91121	0.125	0.0
a	91311	0.5	0.125
a	91764	0.375	0.5
a	92136	0.5	0.25
a	92275	0.5	0.125
a	92391	0.5	0.125
a	92551	0.125	0.875
a	92691	0.125	0.125
a	92848	0.125	0.125
a	92933	0.0	0.125
a	93108	0.125	0.125
a	93275	0.125	0.0
a	93433	0.125	0.125
a	93556	0.25	0.125
a	93810	0.0	0.625
a	94069	0.125	0.625
a	94239	0.0	0.25
a	94324	0.0	0.75
a	94448	0.625	0.0
a	94799	0.5	0.125
a	94941	0.5	0.0
a	95094	0.625	0.0
a	95280	0.25	0.125
a	95873	0.125	0.5
a	96072	0.125	0.75
a	96239	0.375	0.25
a	96414	0.375	0.375
a	96595	0.125	0.625
a	96815	0.25	0.375
a	96913	0.125	0.0
a	97022	0.125	0.375
a	97147	0.5	0.125
a	97305	0.375	0.375
a	97452	0.125	0.75
a	97577	0.125	0.625
a	97674	0.375	0.0
a	97768	0.25	0.0
a	97906	0.125	0.25
a	98043	0.375	0.25
a	98147	0.125	0.25
a	98307	0.375	0.25
a	98450	0.125	0.0
a	98529	0.0	0.0
a	98736	0.375	0.0
a	98933	0.0	0.0
a	99097	0.0	0.0
a	99290	0.375	0.375
a	99590	0.25	0.25
a	99704	0.375	0.5
a	99874	0.25	0.375
a	100213	0.25	0.125
a	100373	0.125	0.5
a	100506	0.25	0.25
a	100634	0.0	0.125
a	100881	0.0	0.0
a	100989	0.0	0.25
a	101152	0.25	0.125
a	101331	0.125	0.0
a	101452	0.125	0.25
a	101609	0.5	0.25
a	101800	0.375	0.25
a	102079	0.375	0.125
a	102201	0.375	0.0
a	102578	0.375	0.125
a	102786	0.375	0.125
a	102930	0.125	0.125
a	103196	0.125	0.375
a	103302	0.25	0.125
a	103447	0.125	0.0
a	103567	0.25	0.375
a	103696	0.375	0.0
a	103953	0.375	0.0
a	104051	0.625	0.25
a	104318	0.5	0.375
a	104533	0.625	0.125
a	104699	0.625	0.125
a	104825	0.625	0.25
a	104942	0.625	0.125
a	105023	0.5	0.5
a	105197	0.375	0.625
a	105388	0.125	0.25
a	105566	0.375	0.0
a	105746	0.5	0.25
a	106020	0.25	0.0
a	106182	0.625	0.0
a	106277	0.5	0.125
a	106456	0.375	0.375
a	106821	0.25	0.625
a	107017	0.375	0.5
a	107128	0.25	0.75
a	107250	0.375	0.625
a	107384	0.25	0.25
a	107648	0.375	0.125
a	107868	0.125	0.125
a	107984	0.375	0.25
a	108145	0.25	0.125
a	108263	0.0	0.0
a	108434	0.0	0.0
a	108595	0.0	0.125
a	108698	0.25	0.125
a	109016	0.125	0.0
a	109133	0.25	0.0
a	109261	0.0	0.0
a	109382	0.0	0.0
a	109504	0.125	0.0
a	109633	0.0	0.0
a	109782	0.0	0.125
a	109966	0.125	0.0
a	110252	0.25	0.0
a	110497	0.0	0.0
a	110701	0.0	0.0
a	110853	0.5	0.0
a	111129	0.375	0.125
a	111415	0.125	0.125
a	111604	0.0	0.0
a	111856	0.125	0.0
a	112018	0.0	0.0
a	112231	0.125	0.0
a	112628	0.25	0.0
a	113015	0.375	0.125
a	113245	0.375	0.125
a	113476	0.375	0.0
a	113663	0.0	0.0
a	113818	0.25	0.75
a	114266	0.125	0.875
a	114454	0.375	0.625
a	114797	0.125	0.875
a	114921	0.25	0.75
a	115094	0.125	0.875
a	115193	0.125	0.875
a	115494	0.25	0.75
a	115777	0.375	0.625
a	115906	0.125	0.875
a	116058	0.375	0.625
a	116245	0.25	0.75
a	116463	0.25	0.75
a	116529	0.125	0.75
a	116744	0.375	0.625
a	116940	0.125	0.875
a	117106	0.5	0.25
a	117235	0.5	0.375
a	117385	0.5	0.25
a	117654	0.5	0.125
a	117754	0.5	0.5
a	117961	0.375	0.625
a	118066	0.5	0.125
a	118238	0.0	0.875
a	118451	0.0	0.875
a	118567	0.625	0.125
a	118844	0.625	0.0
a	119006	0.625	0.125
a	119279	0.625	0.0
a	119409	0.0	1.0
a	119533	0.125	0.875
a	119750	0.125	0.875
a	119875	0.875	0.0
a	119993	0.875	0.0
a	120132	0.125	0.75
a	120252	0.125	0.0
a	120411	0.0	0.25
a	120574	0.0	0.125
a	120784	0.125	0.0
a	121034	0.25	0.0
a	121183	0.25	0.0
a	121376	0.25	0.25
a	121552	0.125	0.625
a	121649	0.375	0.25
a	121865	0.0	0.125
a	122128	0.0	0.0
a	122245	0.125	0.5
a	122386	0.25	0.125
a	122626	0.0	0.0
a	122844	0.125	0.0
a	123485	0.0	0.0
a	123653	0.25	0.0
a	123804	0.0	0.0
a	123961	0.0	0.0
a	124077	0.0	0.0
a	124353	0.0	0.0
a	124493	0.0	0.0
a	124685	0.0	0.0
a	124918	0.0	0.0
a	125068	0.0	0.0
a	125170	0.0	0.0
a	125319	0.0	0.0
a	125553	0.0	0.0
a	125711	0.375	0.0
a	125993	0.25	0.0
a	126116	0.125	0.0
a	126235	0.25	0.0
a	126339	0.125	0.0
a	126497	0.125	0.25
a	126702	0.125	0.0
a	126830	0.125	0.125
a	127137	0.125	0.125
a	127296	0.0	0.0
a	127543	0.125	0.25
a	127661	0.125	0.125
a	127815	0.0	0.0
a	127948	0.125	0.125
a	128137	0.0	0.125
a	128262	0.0	0.5
a	128467	0.375	0.0
a	128572	0.125	0.25
a	128733	0.25	0.25
a	128882	0.25	0.0
a	129029	0.0	0.125
a	129103	0.25	0.0
a	129276	0.125	0.0
a	129467	0.125	0.0
a	129612	0.0	0.0
a	129729	0.0	0.0
a	129878	0.375	0.125
a	130017	0.25	0.25
a	130151	0.0	0.125
a	130281	0.25	0.125
a	130412	0.0	0.0
a	130518	0.0	0.0
a	130596	0.0	0.0
a	130701	0.0	0.0
a	130778	0.125	0.0
a	131018	0.125	0.125
a	131176	0.0	0.0
a	131297	0.0	0.0
a	131426	0.0	0.0
a	131692	0.125	0.0
a	131863	0.0	0.0
a	132040	0.0	0.125
a	132127	0.0	0.0
a	132385	0.0	0.0
a	132754	0.125	0.0
a	132849	0.5	0.25
a	133065	0.375	0.5
a	133259	0.0	0.0
a	133335	0.0	0.125
a	133417	0.625	0.125
a	133669	0.625	0.25
a	133851	0.125	0.75
a	134060	0.75	0.0
a	134251	0.75	0.0
a	134401	0.25	0.5
a	134562	0.25	0.75
a	134701	0.75	0.0
a	135092	0.625	0.125
a	135193	0.625	0.125
a	135342	0.75	0.0
a	135455	0.625	0.125
a	135718	0.125	0.5
a	136081	0.0	0.25
a	136185	0.125	0.5
a	136354	0.125	0.125
a	136589	0.125	0.125
a	136727	0.0	0.0
a	136884	0.25	0.125
a	137120	0.125	0.25
a	137277	0.125	0.125
a	137373	0.25	0.125
a	137501	0.125	0.125
a	137641	0.25	0.375
a	137725	0.75	0.0
a	137943	0.125	0.625
a	138169	0.625	0.125
a	138314	0.75	0.125
a	138622	0.375	0.25
a	138782	0.375	0.375
a	138912	0.5	0.25
a	139126	0.375	0.25
a	139344	0.125	0.0
a	139492	0.375	0.0
a	139702	0.375	0.0
a	139870	0.125	0.0
a	139990	0.0	0.0
a	140075	0.125	0.0
a	140233	0.5	0.125
a	140437	0.375	0.625
a	140542	0.375	0.0
a	140880	0.25	0.0
a	140989	0.375	0.125
a	141111	0.25	0.0
a	141316	0.25	0.125
a	141429	0.375	0.0
a	141522	0.0	0.125
a	141647	0.0	0.375
a	141746	0.0	0.375
a	141818	0.0	0.0
a	141947	0.0	0.125
a	142040	0.0	0.0
a	142270	0.0	0.0
a	142407	0.375	0.0
a	142622	0.25	0.0
a	142704	0.375	0.0
a	142825	0.125	0.0
a	142917	0.125	0.125
a	143201	0.125	0.125
a	143294	0.125	0.125
a	143376	0.0	0.375
a	143516	0.0	0.125
a	143589	0.375	0.125
a	143854	0.375	0.0
a	144020	0.25	0.0
a	144102	0.375	0.25
a	144244	0.375	0.125
a	144408	0.25	0.0
a	144510	0.375	0.125
a	144598	0.25	0.0
a	144728	0.5	0.125
a	144877	0.0	0.0
a	145083	0.125	0.0
a	145628	0.0	0.0
a	145706	0.0	0.0
a	145805	0.0	0.0
a	145883	0.0	0.0
a	145995	0.0	0.25
a	146128	0.0	0.125
a	146210	0.125	0.0
a	146430	0.0	0.0
a	146501	0.0	0.0
a	146609	0.0	0.0
a	146693	0.0	0.0
a	146786	0.0	0.0
a	146883	0.375	0.0
a	147052	0.125	0.0
a	147160	0.125	0.0
a	147397	0.125	0.0
a	147528	0.375	0.125
a	147659	0.25	0.375
a	147734	0.75	0.125
a	148078	0.75	0.125
a	148642	0.625	0.25
a	148852	0.625	0.0
a	149120	0.625	0.25
a	149262	0.75	0.0
a	149461	0.75	0.0
a	149686	0.625	0.125
a	149861	0.5	0.5
a	150055	0.25	0.75
a	150202	0.5	0.125
a	150505	0.625	0.125
a	150835	0.625	0.0
a	150936	0.375	0.0
a	151105	0.125	0.25
a	151530	0.25	0.125
a	151661	0.25	0.25
a	151855	0.25	0.25
a	152004	0.0	0.25
a	152104	0.375	0.25
a	152285	0.375	0.0
a	152629	0.0	0.625
a	152784	0.0	0.375
a	152896	0.5	0.0
a	153083	0.375	0.125
a	153239	0.125	0.5
a	153410	0.0	0.0
a	153545	0.0	0.0
a	153652	0.0	0.0
a	153789	0.0	0.125
a	153898	0.375	0.625
a	154163	0.125	0.875
a	154270	0.375	0.625
a	154583	0.5	0.5
a	154837	0.375	0.625
a	154965	0.625	0.375
a	155144	0.625	0.125
a	155720	0.625	0.125
a	155886	0.5	0.5
a	156101	0.5	0.5
a	156440	0.375	0.375
a	156575	0.5	0.125
a	156839	0.5	0.5
a	157080	0.375	0.625
a	157268	0.5	0.25
a	157389	0.5	0.125
a	157659	0.625	0.125
a	157849	0.375	0.375
a	157925	0.5	0.0
a	158110	0.5	0.0
a	158238	0.5	0.125
a	158332	0.625	0.0
a	158407	0.25	0.375
a	158546	0.125	0.375
a	158701	0.25	0.125
a	158864	0.25	0.0
a	158961	0.125	0.0
a	159106	0.125	0.0
a	159267	0.375	0.0
a	159381	0.0	0.125
a	159498	0.125	0.0
a	159735	0.0	0.0
a	159975	0.125	0.0
a	160144	0.25	0.0
a	160288	0.125	0.0
a	160425	0.25	0.125
a	160573	0.125	0.0
a	160768	0.25	0.25
a	160957	0.125	0.0
a	161065	0.0	0.375
a	161170	0.0	0.0
a	161276	0.625	0.0
a	161431	0.5	0.0
a	161684	0.5	0.0
a	161878	0.375	0.0
a	161993	0.375	0.0
a	162083	0.5	0.0
a	162248	0.625	0.0
a	162386	0.5	0.125
a	162661	0.375	0.375
a	162863	0.5	0.125
a	162990	0.5	0.375
a	163315	0.5	0.5
a	163480	0.0	0.75
a	163592	0.625	0.125
a	163948	0.625	0.0
a	164308	0.5	0.0
a	164462	0.5	0.25
a	164598	0.5	0.375
a	164681	0.625	0.375
a	164863	0.5	0.375
a	165171	0.5	0.25
a	165458	0.375	0.5
a	165585	0.5	0.25
a	165766	0.5	0.375
a	165943	0.5	0.375
a	166146	0.875	0.0
a	166753	0.875	0.0
a	167077	0.75	0.0
a	167278	0.75	0.0
a	167520	0.75	0.125
a	167671	0.875	0.125
a	167829	1.0	0.0
a	168039	0.875	0.125
a	168188	0.875	0.125
a	168551	0.75	0.25
a	168694	0.875	0.0
a	168820	0.75	0.0
a	168910	0.75	0.0
a	169056	0.75	0.0
a	169164	0.125	0.875
a	169432	0.25	0.75
a	169692	0.375	0.625
a	169826	0.375	0.625
a	169955	0.5	0.0
a	170156	0.375	0.375
a	170358	0.75	0.125
a	170717	0.625	0.25
a	170847	0.75	0.125
a	171044	0.25	0.75
a	171292	0.375	0.625
a	171447	0.25	0.75
a	171590	0.5	0.125
a	171872	0.625	0.0
a	172172	0.625	0.125
a	172308	0.375	0.125
a	172452	0.125	0.5
a	172562	0.0	0.0
a	172774	0.0	0.0
a	172993	0.0	0.0
a	173220	0.125	0.0
a	173391	0.125	0.0
a	173694	0.125	0.125
a	173764	0.375	0.25
a	174056	0.625	0.0
a	174150	0.5	0.125
a	174243	0.625	0.0
a	174379	0.375	0.375
a	174719	0.375	0.625
a	174879	0.5	0.125
a	174983	0.375	0.25
a	175123	0.375	0.5
a	175300	0.5	0.125
a	175435	0.375	0.375
a	175528	0.375	0.0
a	175719	0.375	0.0
a	175887	0.125	0.125
a	176150	0.875	0.0
a	176387	0.75	0.125
a	176676	1.0	0.0
a	176838	0.25	0.75
a	176991	0.5	0.5
a	177186	0.625	0.125
a	177547	0.75	0.0
a	177834	0.75	0.125
a	177963	0.125	0.875
a	178126	0.25	0.625
a	178464	0.25	0.75
a	178575	0.5	0.25
a	178811	0.625	0.0
a	179035	0.625	0.125
a	179190	0.5	0.125
a	179315	0.5	0.25
a	179486	0.125	0.875
a	179676	0.375	0.375
a	179815	0.25	0.75
a	179925	0.5	0.0
a	180211	0.125	0.625
a	180359	0.0	0.0
a	180496	0.0	0.0
a	180655	0.25	0.0
a	180835	0.125	0.125
a	181030	0.0	0.0
a	181162	0.0	0.0
a	181264	0.25	0.0
a	181373	0.0	0.0
a	181476	0.5	0.0
a	181904	0.5	0.125
a	182086	0.375	0.0
a	182225	0.375	0.0
a	182418	0.375	0.0
a	182510	0.5	0.125
a	182639	0.375	0.125
a	182718	0.5	0.0
a	182843	0.375	0.375
a	182961	0.375	0.25
a	183053	0.5	0.0
a	183675	0.5	0.125
a	183832	0.5	0.125
a	183932	0.5	0.125
a	184075	0.5	0.0
a	184229	0.375	0.125
a	184363	0.5	0.0
a	184543	0.375	0.0
a	184676	0.375	0.375
a	184792	0.5	0.125
a	185020	0.5	0.0
a	185160	0.375	0.25
a	185363	0.375	0.125
a	185509	0.375	0.0
a	185607	0.375	0.0
a	185759	0.375	0.0
a	185921	0.125	0.625
a	186193	0.125	0.625
a	186490	0.0	0.5
a	186616	0.5	0.25
a	186925	0.375	0.0
a	187049	0.25	0.75
a	187176	0.5	0.375
a	187443	0.5	0.0
a	187590	0.5	0.125
a	187736	0.25	0.125
a	188058	0.375	0.125
a	188155	0.25	0.25
a	188436	0.125	0.0
a	188738	0.25	0.25
a	188917	0.125	0.125
a	189017	0.375	0.25
a	189253	0.5	0.0
a	189511	0.125	0.25
a	189580	0.375	0.0
a	189833	0.375	0.125
a	190023	0.0	0.25
a	190115	0.625	0.0
a	190653	0.5	0.25
a	190960	0.5	0.25
a	191265	0.625	0.125
a	191603	0.0	0.75
a	192026	0.125	0.625
a	192332	0.375	0.625
a	192523	0.0	0.75
a	192756	0.625	0.125
a	192880	0.0	0.75
a	193015	0.0	0.625
a	193367	0.25	0.625
a	193480	0.0	1.0
a	193799	0.125	0.875
a	194357	0.0	1.0
a	194817	0.25	0.625
a	194924	0.125	0.75
a	195191	0.25	0.375
a	195383	0.375	0.625
a	195684	0.125	0.625
a	196122	0.125	0.875
a	196233	0.25	0.625
a	196312	0.25	0.625
a	196449	0.125	0.625
a	196560	0.75	0.125
a	196664	0.0	0.0
a	196799	0.0	0.0
a	196934	0.625	0.375
a	197151	0.375	0.625
a	197247	0.625	0.125
a	197319	0.625	0.375
a	197447	0.375	0.625
a	197576	0.125	0.125
a	197773	0.125	0.0
a	197891	0.25	0.125
a	198147	0.25	0.125
a	198383	0.0	0.0
a	198610	0.125	0.0
a	198757	0.375	0.125
a	198904	0.5	0.25
a	199114	0.5	0.0
a	199463	0.5	0.125
a	199569	0.125	0.0
a	199811	0.125	0.25
a	200026	0.375	0.0
a	200258	0.125	0.25
a	200431	0.25	0.0
a	200529	0.125	0.375
